FIPS,State,County,Premature_Death_Total,Poor_or_Fair_Health,Adult_Smoking,Adult_Obesity,Uninsured,Primary_Care_Physician,Some_College,Unemployment,Children_in_Poverty,Air_Pollution_PM,Severe_Housing_Problems,Premature_Death_AIAN,Premature_Death_Asian,Premature_Death_Black,Premature_Death_Hispanic,Premature_Death_White,Premature_Death_NHOPI,DeathGap_AIAN,DeathGap_Asian,DeathGap_Black,DeathGap_Hispanic,DeathGap_White,DeathGap_NHOPI
1,AL,Crenshaw County,13951.809024,0.236,0.2,0.403,0.131403118,0.0002293052,0.477896852,0.0266233766,0.271,8.5,0.104189044,,,18278.022489,,12937.786182,,,,4326.213464999999,,-1014.0228420000003,
1,AL,Cullman County,11852.911745,0.218,0.186,0.397,0.1164789446,0.0004804684,0.5927217659,0.02041586,0.213,8.7,0.1051912568,,,8561.1201647,8298.8397977,12200.697074,,,,-3291.7915802999996,-3554.071947299999,347.7853290000003,
1,AL,Dale County,11939.042155,0.23,0.185,0.443,0.1049121135,0.0002837339,0.5869128554,0.0253325785,0.22,9.0,0.1163328197,,,13991.875402,6579.5324564,12314.419509,,,,2052.8332470000005,-5359.509698599999,375.3773540000002,
1,AL,Dallas County,20426.822143,0.281,0.197,0.505,0.0973662639,0.0007177224,0.5738366572,0.0542217626,0.465,8.7,0.155022593,,,23108.824115,,13897.291745,,,,2682.001971999998,,-6529.530398000001,
1,AL,DeKalb County,11969.446607,0.281,0.225,0.389,0.1519862125,0.0004038266,0.5009260331,0.0227067475,0.288,7.2,0.1228515625,,,16438.052197,6785.1591056,13165.340187,,,,4468.605590000001,-5184.2875014,1195.89358,
1,AL,Elmore County,9508.1160841,0.188,0.158,0.364,0.0899437942,0.0002239541,0.5325638568,0.0212986475,0.17,9.4,0.1052797977,,,12329.134806,,9011.5686028,,,,2821.0187219,,-496.5474813000001,
1,AL,Escambia County,15044.632371,0.257,0.217,0.435,0.1241663326,0.0002997357,0.3683420855,0.0311634349,0.29,8.9,0.1125776398,14988.106016,,16464.440757,,14733.108308,,-56.52635499999997,,1419.8083860000006,,-311.52406299999893,
1,AL,Etowah County,14706.297419,0.222,0.188,0.413,0.112525627,0.0007367054,0.5298256966,0.0279482627,0.255,7.9,0.1136066858,,,19933.321384,7086.1125202,14292.259145,,,,5227.0239649999985,-7620.1848988,-414.03827400000046,
1,AL,Fayette County,14667.278733,0.254,0.218,0.392,0.1155548403,0.0009908348,0.5038802661,0.0288666059,0.22,8.3,0.0983078163,,,19560.206682,,14602.274783,,,,4892.927949000001,,-65.00394999999844,
1,AL,Franklin County,13058.98714,0.255,0.203,0.396,0.1369978534,0.000406085,0.4243792325,0.0256896189,0.344,7.5,0.0994979461,,,22308.427183,7634.7196992,13638.124548,,,,9249.440043,-5424.267440799999,579.1374080000005,
1,AL,Geneva County,14287.285268,0.226,0.18,0.382,0.1210851975,0.0002996142,0.4830424761,0.0244293866,0.27,8.9,0.1280931587,,,25279.25728,,13853.265634,,,,10991.972012000002,,-434.0196340000002,
1,AL,Greene County,16286.662891,0.341,0.239,0.51,0.092735123,0.0003932363,0.3531331593,0.0477025605,0.468,8.5,0.1385964912,,,16184.85154,,16696.201961,,,,-101.81135100000029,,409.5390699999989,
1,AL,Hale County,15927.466736,0.263,0.186,0.444,0.1139656858,0.0002033347,0.5116760272,0.0332887253,0.322,8.7,0.147030185,,,19642.222642,,11096.801328,,,,3714.7559060000003,,-4830.665408000001,
1,AL,Henry County,10894.195271,0.258,0.215,0.383,0.1127886987,0.0003436623,0.4472563267,0.0263493413,0.227,9.0,0.0843091335,,,16382.549992,,8872.0410025,,,,5488.354721,,-2022.1542685000004,
1,AL,Houston County,11251.055627,0.223,0.188,0.375,0.1171585758,0.0008189246,0.5767757147,0.0258287321,0.246,9.3,0.1322545322,,,15567.470421,7195.9544095,9723.9920766,,,,4316.414794,-4055.1012174999996,-1527.0635504000002,
1,AL,Jackson County,13931.867869,0.24,0.207,0.386,0.129937158,0.0005116253,0.5045908832,0.0248275275,0.192,7.9,0.1008631319,,,16439.816484,,14446.821183,,,,2507.9486149999993,,514.9533140000003,
1,AL,Jefferson County,13163.518237,0.197,0.15,0.397,0.0960067357,0.0011110778,0.6914318106,0.0245276408,0.215,10.2,0.160617936,,3415.7803466,17503.645334,9007.9138043,10096.052682,,,-9747.7378904,4340.1270970000005,-4155.6044327,-3067.4655550000007,
1,AL,Lamar County,12036.358042,0.222,0.19,0.383,0.1106487611,,0.5242782152,0.0279562424,0.23,8.2,0.0981308411,,,18911.489515,,11619.803322,,,,6875.131473000001,,-416.5547200000001,
1,AL,Lauderdale County,9936.8569068,0.188,0.163,0.365,0.1064372475,0.0005423051,0.5838279609,0.0253922044,0.168,7.3,0.1192987081,,,16304.794098,,9507.6776928,,,,6367.937191200001,,-429.1792139999998,
1,AL,Lawrence County,13633.173957,0.24,0.205,0.407,0.1217629202,0.0001813237,0.5229002709,0.0225871314,0.192,7.9,0.0862068966,,,22370.80964,,14246.422775,,,,8737.635682999999,,613.2488179999982,
1,AL,Lee County,7894.4869047,0.197,0.159,0.352,0.1004613633,0.0004965636,0.7632713787,0.0229331823,0.149,9.3,0.1806875792,,,12544.060523,4061.2804744,6862.0947108,,,,4649.5736183,-3833.2064303,-1032.3921939000002,
1,AL,Limestone County,8777.4894426,0.182,0.155,0.358,0.0923175388,0.0003441316,0.6637945656,0.0206563552,0.113,7.8,0.0992497038,,,8558.6951989,7467.8901742,9248.7549364,,,,-218.79424369999833,-1309.5992683999993,471.2654938000014,
1,AL,Lowndes County,19891.328012,0.3,0.219,0.496,0.0910078783,0.0001003512,0.4548259145,0.0457012282,0.421,8.7,0.1829896907,,,22345.234593,,15486.246454,,,,2453.9065809999993,,-4405.081558000002,
1,AL,Macon County,15396.827364,0.284,0.192,0.477,0.0961538462,0.0003175443,0.5215698023,0.0318949343,0.406,8.9,0.1254379818,,,17602.786187,,10328.759798,,,,2205.958823000001,,-5068.0675660000015,
1,AL,Madison County,9054.1844336,0.172,0.138,0.357,0.0806479077,0.0008552394,0.7713874641,0.0204677795,0.135,7.1,0.1099133105,,2691.4913285,12287.537135,5165.5989005,8619.8982683,,,-6362.693105099999,3233.352701400001,-3888.5855330999993,-434.2861653,
1,AL,Marengo County,14678.892244,0.26,0.199,0.461,0.1024383505,0.0004211413,0.5402635432,0.0333553065,0.331,8.7,0.0917241379,,,18377.461573,,11492.693523,,,,3698.569329,,-3186.1987210000007,
1,AL,Marion County,12543.533929,0.228,0.188,0.395,0.1121395987,0.000239349,0.5868696187,0.0292030164,0.243,7.8,0.1006289308,,,10167.848148,,13122.961336,,,,-2375.685781,,579.427407000001,
1,AL,Marshall County,12808.56937,0.207,0.171,0.386,0.1241745022,0.0005497414,0.5058410226,0.0205583207,0.215,8.7,0.1025677201,,,15626.59209,9104.7402678,13498.904735,,,,2818.022720000001,-3703.8291021999994,690.3353650000008,
1,AL,Mobile County,12655.580664,0.247,0.191,0.422,0.1176122841,0.0007117386,0.5880152933,0.0310043278,0.248,8.0,0.1520453036,13544.020116,4929.8314629,15884.084942,5792.4419597,11260.681913,,888.4394520000005,-7725.7492010999995,3228.5042780000003,-6863.1387042999995,-1394.8987509999988,
1,AL,Monroe County,15784.597331,0.261,0.208,0.427,0.1147275306,0.0004580619,0.3820224719,0.0427815138,0.279,8.6,0.1090661213,,,20546.676284,,12581.108523,,,,4762.078953,,-3203.488808,
1,AL,Montgomery County,13219.378867,0.248,0.181,0.446,0.1125308519,0.0009673136,0.6437651835,0.0281265324,0.26,7.9,0.1743422898,,4130.4818814,15403.244165,11564.412794,9623.3972448,,,-9088.8969856,2183.8652980000006,-1654.9660729999996,-3595.981622199999,
1,AL,Morgan County,12501.614916,0.219,0.175,0.387,0.1225546779,0.0005094285,0.5725092918,0.019869691,0.168,8.1,0.1091445428,,,18148.549107,9107.3673958,12119.496691,,,,5646.9341909999985,-3394.2475202000005,-382.11822500000017,
1,AL,Perry County,17916.639734,0.329,0.235,0.5,0.1012900976,0.0003590664,0.3458980044,0.0500167842,0.503,8.5,0.1036906854,,,21188.780241,,8522.1868736,,,,3272.140507,,-9394.4528604,
1,AL,Pickens County,13196.566691,0.256,0.196,0.438,0.1046413502,0.0003723206,0.4326746792,0.0302176697,0.303,8.6,0.0986418871,,,17875.70708,,11054.330688,,,,4679.140389,,-2142.236003,
1,AL,Pike County,13497.370953,0.217,0.164,0.406,0.1058417085,0.0004243582,0.619406049,0.027288514,0.325,8.6,0.1572545613,,,18087.809853,,11500.005405,,,,4590.438899999999,,-1997.3655479999998,
1,AL,Randolph County,11833.808003,0.235,0.204,0.409,0.1272769734,0.0002728637,0.4996944388,0.0244889488,0.25,8.4,0.1138872748,,,13830.439576,,11627.111235,,,,1996.6315730000006,,-206.6967679999998,
1,AL,Russell County,14160.382378,0.264,0.203,0.469,0.1174595948,0.0001702939,0.6081383773,0.0275583864,0.267,8.7,0.1778305964,,,13863.542,5390.8545315,16154.99102,,,,-296.8403780000008,-8769.527846500001,1994.6086419999992,
1,AL,St. Clair County,11877.985387,0.178,0.152,0.33,0.0957893482,0.0001832924,0.58721363,0.0213632938,0.143,9.4,0.0942203492,,,13481.427955,,12030.764853,,,,1603.4425679999986,,152.77946599999996,
1,AL,Shelby County,6794.9802433,0.146,0.112,0.321,0.0756171604,0.0007712581,0.7626787702,0.0184491585,0.094,10.0,0.1003597342,,2070.8674698,8973.9704092,3879.5467465,6863.6859118,,,-4724.112773500001,2178.990165899999,-2915.4334968000003,68.70566849999977,
1,AL,Sumter County,15670.022213,0.295,0.207,0.452,0.0935182971,0.0005754686,0.5294888598,0.0368673647,0.454,8.7,0.1153846154,,,18630.570142,,9315.4649957,,,,2960.5479290000003,,-6354.5572173,
1,AL,Talladega County,15316.224091,0.235,0.185,0.426,0.1048795335,0.0002575929,0.5128604832,0.0277452555,0.228,9.1,0.1458464443,,,17193.726355,,14850.11994,,,,1877.5022639999988,,-466.10415099999955,
1,AL,Tallapoosa County,12182.594159,0.228,0.176,0.419,0.1227664015,0.0004631548,0.5188252181,0.0251941329,0.226,8.6,0.1193528694,,,13875.102993,,11788.053298,,,,1692.5088340000002,,-394.5408609999995,
1,AL,Tuscaloosa County,10422.47724,0.213,0.176,0.414,0.0880480633,0.0006299365,0.6553000876,0.023399467,0.238,7.5,0.1532583445,,,13711.956846,8948.4642935,8761.3956166,,,,3289.479605999999,-1474.012946500001,-1661.0816233999994,
1,AL,Walker County,18377.077905,0.25,0.218,0.429,0.1233731922,0.0004628344,0.5626496409,0.0264438992,0.233,9.0,0.1174680463,,,20941.05142,,18753.645779,,,,2563.9735150000015,,376.5678740000003,
1,AL,Washington County,12864.089912,0.251,0.212,0.415,0.0987920621,6.60197e-05,0.5196261682,0.0256830601,0.262,9.0,0.0817490494,19812.346127,,15580.422329,,11633.888699,,6948.256215000001,,2716.3324170000014,,-1230.2012130000003,
1,AL,Wilcox County,19438.678148,0.339,0.25,0.485,0.1213566508,9.57304e-05,0.3908629442,0.0799683294,0.485,8.5,0.1531034483,,,22377.962504,,14111.838644,,,,2939.284356,,-5326.839504,
1,AL,Winston County,12030.860071,0.214,0.178,0.363,0.1168619792,0.0003805175,0.4082470197,0.0272876487,0.24,8.1,0.0970715835,,,,,12611.984531,,,,,,581.1244600000009,
2,AK,Alaska,10028.003437,0.155,0.162,0.323,0.1330597255,0.0009676895,0.6464614629,0.0422549805,0.125,5.3,0.1976704022,23949.547294,4497.7465227,8895.2795965,5566.6641117,7388.1934306,19362.039992,13921.543857,-5530.256914299999,-1132.723840499999,-4461.3393252999995,-2639.810006399999,9334.036555000002
2,AK,Aleutians East Borough,4200.3367471,0.198,0.172,0.309,0.1958456973,,0.4731285988,0.0210150674,0.186,,0.1584699454,32661.178173,,,,,,28460.8414259,,,,,
2,AK,Aleutians West Census Area,5785.3974442,0.174,0.163,0.289,0.1670011148,0.0005930026,0.5547722343,0.0301153954,0.048,,0.144278607,33069.551971,,,,,,27284.1545268,,,,,
2,AK,Anchorage Borough,9853.0638746,0.137,0.136,0.296,0.1211176078,0.0011627059,0.7009739169,0.0342719612,0.099,5.8,0.1655185341,29188.919252,4908.0826656,10316.195983,6488.0607637,7212.0121301,22886.969148,19335.8553774,-4944.9812090000005,463.1321083999992,-3365.0031109,-2641.0517445000005,13033.9052734
2,AK,Bethel Census Area,18066.471244,0.299,0.338,0.415,0.1416339356,0.0008622083,0.3253227408,0.0971377725,0.362,,0.5586283186,19960.207303,,,,,,1893.736058999999,,,,,
2,AK,Bristol Bay Borough,16587.524231,0.165,0.18,0.32,0.1691678035,0.0,0.6556291391,0.0368763557,0.18,,0.1111111111,,,,,,,,,,,,
2,AK,Chugach Census Area,,0.136,0.149,0.304,0.1753246753,0.0015847861,0.7548169557,0.0471098266,0.079,,0.0926640927,,,,,,,,,,,,
2,AK,Copper River Census Area,,0.166,0.175,0.326,0.142787761,0.0003802281,0.6853707415,0.0761973875,0.201,,0.2116402116,,,,,,,,,,,,
2,AK,Denali Borough,,0.138,0.151,0.308,0.1260806916,0.0006277464,0.412371134,0.0595581172,0.113,,0.2735849057,,,,,,,,,,,,
2,AK,Dillingham Census Area,20903.735026,0.256,0.274,0.372,0.1696480092,0.0025146689,0.4685714286,0.0636205899,0.313,,0.4197080292,26798.666697,,,,,,5894.931671000002,,,,,
2,AK,Fairbanks North Star Borough,8712.742308,0.138,0.139,0.321,0.1109260287,0.0008578034,0.7161736097,0.0380447922,0.079,11.9,0.1932011331,24543.201828,6110.9032974,6196.086214,4431.9155565,7532.8280802,,15830.45952,-2601.8390106000006,-2516.656094000001,-4280.826751500001,-1179.9142278000008,
2,AK,Haines Borough,10534.529197,0.141,0.157,0.326,0.1119016818,0.0028971511,0.8178807947,0.0657065707,0.131,,0.3419354839,,,,,12481.100188,,,,,,1946.5709910000005,
2,AK,Hoonah-Angoon Census Area,9451.7912651,0.194,0.206,0.317,0.1692789969,,0.5068181818,0.0558572537,0.272,,0.1666666667,21587.664065,,,,,,12135.8727999,,,,,
2,AK,Juneau Borough,7261.629556,0.127,0.148,0.328,0.1224768554,0.001282332,0.7100862712,0.0299353214,0.095,4.8,0.1377708978,17195.354594,,,,5101.9220911,,9933.725038,,,,-2159.7074648999996,
2,AK,Kenai Peninsula Borough,8874.4859998,0.156,0.163,0.32,0.1452395008,0.0008031188,0.6040308239,0.0471778488,0.121,,0.1809398331,15588.353228,,,,8012.6044649,,6713.867228200001,,,,-861.8815348999997,
2,AK,Ketchikan Gateway Borough,9819.4276417,0.147,0.153,0.343,0.1552901024,0.0012360041,0.6552166111,0.036757228,0.117,,0.1759343665,24424.634996,,,,8783.164299,,14605.2073543,,,,-1036.2633427,
2,AK,Kodiak Island Borough,8975.6460306,0.16,0.168,0.303,0.1783650658,0.0014076797,0.6924216243,0.0441176471,0.088,,0.2378255946,30821.690681,5792.0081728,,,5796.258666,,21846.0446504,-3183.6378578000013,,,-3179.387364600001,
2,AK,Kusilvak Census Area,24556.33926,0.368,0.383,0.46,0.1389707156,,0.2296296296,0.1505657093,0.365,,0.6115702479,25836.44127,,,,,,1280.1020099999987,,,,,
2,AK,Lake and Peninsula Borough,20072.785321,0.221,0.235,0.382,0.1922348485,0.0,0.432642487,0.0588235294,0.273,,0.28125,34279.650864,,,,,,14206.865543000004,,,,,
2,AK,Matanuska-Susitna Borough,8750.0795302,0.186,0.195,0.314,0.1466952195,0.0004878666,0.580008979,0.0482599075,0.105,4.7,0.1990540008,18577.977172,,10957.328478,4176.7202039,8298.4442881,,9827.897641799998,,2207.248947799999,-4573.3593263,-451.63524210000105,
2,AK,Nome Census Area,18090.491543,0.288,0.329,0.372,0.1453762844,0.0013177902,0.4027673897,0.0768090887,0.23,,0.5193370166,21626.861369,,,,,,3536.3698259999983,,,,,
2,AK,North Slope Borough,9617.4349943,0.194,0.223,0.407,0.1469318182,0.0003645643,0.5457917261,0.0492819843,0.142,,0.4156769596,18499.939881,,,,,,8882.504886699999,,,,,
2,AK,Northwest Arctic Borough,19917.503044,0.267,0.292,0.38,0.1660181582,0.0007936508,0.3605,0.0963253657,0.23,,0.5014245014,23340.056595,,,,,,3422.5535509999972,,,,,
2,AK,Petersburg Census Area,7076.5773882,0.152,0.163,0.304,0.184366364,0.0014898689,0.6374663073,0.0507868383,0.11,,0.1570247934,,,,,4787.1798795,,,,,,-2289.3975087,
2,AK,Prince of Wales-Hyder Census Area,14378.467379,0.202,0.221,0.376,0.1913445174,0.0017455053,0.5259087394,0.0674157303,0.221,,0.2012987013,18402.284431,,,,12626.085307,,4023.8170520000003,,,,-1752.3820720000003,
2,AK,Sitka Borough,7686.8488695,0.149,0.158,0.323,0.1495450543,0.0021410729,0.7458949097,0.029652578,0.106,,0.1468023256,23246.166315,,,,4667.5304751,,15559.317445499999,,,,-3019.3183943999993,
2,AK,Skagway Municipality,,0.156,0.175,0.33,0.1586757991,0.0,0.4988066826,0.0582147477,0.089,,0.0897435897,,,,,,,,,,,,
2,AK,Southeast Fairbanks Census Area,9720.3749391,0.183,0.199,0.373,0.1609372328,0.0005738881,0.5581395349,0.0521047984,0.14,,0.2329411765,27225.223736,,,,7187.6667031,,17504.848796899998,,,,-2532.7082360000004,
2,AK,Wrangell City,10946.485665,0.172,0.193,0.344,0.2105619499,0.001459854,0.5995807128,0.0485961123,0.151,,0.0892857143,,,,,14087.940776,,,,,,3141.4551109999993,
2,AK,Yakutat Borough,,0.199,0.206,0.326,0.1930783242,0.0,0.6495726496,0.0603174603,0.26,,0.1627906977,,,,,,,,,,,,
2,AK,Yukon-Koyukuk Census Area,22703.597242,0.27,0.294,0.395,0.1913116124,0.0001895735,0.4868322047,0.0903010033,0.248,,0.5078947368,30236.021181,,,,5431.4463016,,7532.423939,,,,-17272.1509404,
4,AZ,Arizona,9457.2593479,0.185,0.131,0.335,0.1272086616,0.0006644846,0.6619587894,0.0391400858,0.158,6.0,0.1709896015,25539.745072,3508.4889922,13591.73561,8784.7917818,8344.7326684,14978.8868,16082.4857241,-5948.7703557,4134.476262099999,-672.4675661000001,-1112.5266795000007,5521.6274521
4,AZ,Apache County,27851.413774,0.325,0.271,0.391,0.1302971035,0.0004114411,0.5635800557,0.0788163868,0.357,3.3,0.2787348933,32181.951552,,,12703.996902,15764.509075,,4330.537777999998,,,-15147.416872,-12086.904699,
4,AZ,Cochise County,9423.8489242,0.194,0.153,0.329,0.1118610324,0.0005791353,0.6228655775,0.0453362912,0.196,6.5,0.1194151097,,,9759.3709537,8803.0912569,9683.7482288,,,,335.5220294999999,-620.7576673000003,259.8993045999996,
4,AZ,Coconino County,11546.476059,0.175,0.138,0.27,0.1381327883,0.0008203954,0.7330045503,0.0419991488,0.209,5.3,0.2426765945,24587.789064,,,8428.6894801,6006.3367132,,13041.313005,,,-3117.7865789000007,-5540.1393458,
4,AZ,Gila County,19407.343282,0.223,0.185,0.344,0.1518558889,0.0004478531,0.4882884634,0.0430466783,0.28,6.0,0.1761936785,41928.426905,,,9757.9993054,16613.869185,,22521.083623,,,-9649.343976600001,-2793.474097000002,
4,AZ,Graham County,11352.564126,0.217,0.157,0.404,0.1131238202,0.0004097311,0.4860770975,0.0368326335,0.204,5.4,0.16587473,25053.035222,,,10742.80311,8560.1607235,,13700.471096,,,-609.7610159999986,-2792.4034025,
4,AZ,Greenlee County,11216.589614,0.196,0.134,0.325,0.0930557319,0.0006380264,0.6070202213,0.0285895807,0.096,5.4,0.067381317,,,,9417.00125,13236.006689,,,,,-1799.588364000001,2019.4170749999994,
4,AZ,La Paz County,23645.177931,0.252,0.186,0.359,0.1693875315,0.0003656753,0.4387096774,0.0476190476,0.293,4.2,0.1912442396,34678.566172,,,13945.158451,29299.45665,,11033.388241,,,-9700.019479999999,5654.278719000002,
4,AZ,Maricopa County,8525.3191969,0.171,0.118,0.327,0.1247096348,0.0006991968,0.6845629216,0.0342015741,0.139,12.6,0.1707594277,18198.340848,3560.9057298,13996.412696,8765.9921857,7524.505305,16556.174852,9673.0216511,-4964.4134671,5471.0934990999995,240.6729888000009,-1000.8138919000003,8030.8556551
4,AZ,Mohave County,13412.686082,0.212,0.176,0.366,0.1410078056,0.0005328629,0.5308254717,0.0450922493,0.227,6.1,0.1494955999,24367.051719,6986.1446869,14196.599741,9781.3631658,13891.841018,,10954.365636999999,-6426.5413951,783.9136589999998,-3631.3229162000007,479.154935999999,
4,AZ,Navajo County,21728.239752,0.256,0.224,0.385,0.1540432197,0.0006287738,0.5111646586,0.0566569412,0.29,5.3,0.2293176535,32475.309141,,,13115.638689,11751.983275,,10747.069389,,,-8612.601063000002,-9976.256477,
4,AZ,Pima County,9749.815683,0.192,0.14,0.328,0.1130348635,0.0008706976,0.6833127778,0.0382614254,0.179,6.2,0.1701857552,26157.910814,3283.7057074,14053.371661,8922.2250104,9213.0531893,17388.824193,16408.095131,-6466.1099756,4303.5559779999985,-827.5906726000012,-536.7624937,7639.00851
4,AZ,Pinal County,9284.8309924,0.196,0.151,0.389,0.1321722264,0.000177953,0.5639645559,0.0411207724,0.124,16.1,0.1376112123,23407.387336,3432.4370859,11611.629278,8484.0460711,8287.1590883,,14122.5563436,-5852.3939065,2326.7982856,-800.7849213000009,-997.6719040999997,
4,AZ,Santa Cruz County,6446.7835233,0.253,0.136,0.324,0.1999431392,0.0003759163,0.5977713875,0.0757701915,0.288,10.4,0.1695069994,,,,6569.4312679,7045.6549305,,,,,122.6477446000008,598.8714072000002,
4,AZ,Yavapai County,10159.849891,0.166,0.152,0.277,0.1614111536,0.0005531407,0.6136379212,0.0361016452,0.17,5.7,0.16765286,25217.603301,,9542.1953015,7536.7737664,10508.016184,,15057.75341,,-617.6545894999999,-2623.0761246,348.1662930000002,
4,AZ,Yuma County,9875.9199698,0.247,0.144,0.423,0.1673820282,0.0004251413,0.5588768289,0.1320121302,0.23,9.1,0.2080726123,25945.085718,,11505.176711,8919.5565162,11523.63423,,16069.1657482,,1629.2567412000008,-956.363453599999,1647.7142602000004,
5,AR,Arkansas,11384.029581,0.227,0.199,0.379,0.1001208573,0.000676495,0.5891537105,0.0325079265,0.202,8.3,0.132326537,4844.2917951,4509.7256181,16860.809929,5959.8799115,11054.320145,21758.911206,-6539.737785900001,-6874.3039629,5476.780347999998,-5424.1496695000005,-329.709436000001,10374.881625
